Z3	X2	X1	Z1	Z2	Y
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	a	b	b	a	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	a	b	b	a	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	a	b	b	a	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	a	b	b	a	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	a	b	b	a	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	a	b	b	a	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	a	b	b	a	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	a	b	b	a	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	a	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	a	b	b	a	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	a	a	b	b
b	b	a	a	b	b
b	a	b	b	a	a
b	b	b	b	b	b
b	b	a	a	b	b
b	b	a	a	b	a
b	b	b	b	b	b
b	b	a	a	b	a
b	a	b	b	a	a
b	b	b	b	b	b
b	b	a	a	b	a
b	b	a	a	b	b
